Latitude;Longitude;Score
40,86;-73,89;2,5695
40,83;-73,86;2,361166667
40,68;-73,83;2,129282609
40,62;-74,01;1,983388889
40,83;-73,89;1,967227273
40,83;-73,83;1,8945
40,68;-73,89;1,861166667
40,65;-73,92;1,808785714
40,62;-73,95;1,652833333
40,77;-73,83;1,547441176
40,83;-73,92;1,405026316
40,71;-73,89;1,297441176
40,62;-74,04;1,278416084
40,71;-73,83;0,986166667
40,77;-73,92;0,985544776
40,62;-73,98;0,935571429
40,59;-73,98;0,92276087
40,86;-73,92;0,791110169
40,89;-73,92;0,725112245
40,65;-74,01;0,715210059
40,59;-73,77;0,6945
40,68;-73,86;0,678875
40,74;-73,92;0,671183938
40,59;-74,01;0,658785714
40,65;-73,95;0,535186275
40,71;-73,86;0,290475232
40,56;-73,98;0,288702899
40,65;-73,98;0,282322014
40,59;-73,95;0,277833333
40,86;-73,95;0,258035912
40,71;-73,92;0,257
40,68;-73,95;0,231856322
40,68;-73,92;0,216526432
40,71;-74,04;0,191284566
40,74;-74,04;0,149045455
40,74;-73,95;0,133893939
40,74;-73,86;0,133893939
40,74;-73,89;0,113018519
40,68;-73,98;0,108551842
40,8;-73,95;0,106061691
40,83;-73,95;0,09523831
40,74;-73,83;0,059884615
40,71;-73,95;0,01846088
40,71;-73,98;0,016365766
40,71;-74,01;-0,032157645
40,74;-74,01;-0,036958675
40,74;-73,98;-0,037547364
40,77;-73,95;-0,068676895
40,77;-74,01;-0,127375
40,8;-73,98;-0,171296345
40,77;-73,98;-0,260156863
40,68;-74,01;-0,297402834
