Word;Score
cooper;0,532747012
<br><p><img;0,350296145
ul><;0,344724215
><ul><li><a;0,326236527
elliman;0,322936911
buildings;0,298109626
further;0,297677315
playroom;0,286783629
li><;0,283236761
li><li><a;0,275747733
information<;0,267982428
>contact;0,261354991
easily;0,260404506
src=;0,251694617
coopercooper;0,250966069
than;0,248415276
"width=""";0,244519616
"height=""";0,242966362
intercom;0,240796296
convertible;0,238548605
major;0,236348739
maintained;0,23063214
plus;0,226649383
included;0,224184601
table;0,221880031
union;0,220608374
nice;0,217423588
murray;0,217092152
flex;0,216497106
station;0,211720083
surrounded;0,210510674
effective;0,208188761
elegant;0,206112475
fireplace;0,205911765
move;0,203942871
apt;0,202917759
nearby;0,201743461
walking;0,200021201
@;0,199145761
express;0,19902284
>to;0,1975012
designed;0,196378287
last;0,192713278
water;0,191669636
true;0,188200787
help;0,185200692
lovely;0,180027223
nightlife;0,177008183
each;0,176114415
target=_blank;0,17576615
sunlight;0,174496958
grand;0,173654769
price;0,172032519
without;0,166936277
good;0,165537481
life;0,165416645
welcome;0,164569071
com<p><a;0,164474874
>for;0,162841072
big;0,162762337
come;0,161436572
quiet;0,161055184
foot;0,159205882
hot;0,156852157
next;0,155548646
around;0,153268554
hill;0,152943521
href=;0,151302897
attended;0,149965587
cafes;0,147988372
a>;0,147946575
>call;0,146828967
stores;0,146512091
feel;0,146307229
few;0,145853328
charming;0,142897738
distance;0,141844734
extra;0,141554875
hard;0,139235311
window;0,137818729
deal;0,137158459
baths;0,137053191
info;0,135947535
heat;0,135182557
listings;0,134830601
walls;0,13396932
long;0,133113478
lined;0,133071212
com<;0,131959097
bar;0,131923721
tiled;0,130784559
gut;0,130546512
low;0,130242972
queen;0,130188406
don't;0,128752082
www;0,126739658
rental;0,125945758
which;0,125338623
breakfast;0,125322565
kitchens;0,123415019
sunny;0,123357143
minutes;0,123127038
built;0,120720204
get;0,120077014
net;0,11851553
questions;0,117020141
j;0,116597156
updated;0,116189942
swimming;0,114869486
brooklyn;0,112970418
much;0,112367535
wall;0,112105118
indoor;0,111684644
p>;0,111514178
first;0,111058981
unique;0,110072792
about;0,109880512
cabinet;0,108885099
but;0,108755376
massive;0,108281913
glass;0,107880519
listing;0,106795705
gas;0,106239865
>the;0,105069106
exclusive;0,104913885
set;0,102835667
furnished;0,101834643
short;0,101647959
must;0,101616714
include;0,101228111
rd;0,100971981
both;0,09954046
conveniently;0,099264037
luxurious;0,099122496
includes;0,09856539
lots;0,098163501
tons;0,097736682
subways;0,097710723
balcony;0,097369869
spectacular;0,09678467
anytime;0,095673068
everything;0,094803558
bars;0,094553022
tree;0,094426199
within;0,094088356
search;0,093885058
q;0,09343617
allowed;0,091688964
easy;0,090793551
perfect;0,090506738
pool;0,090485753
into;0,090441963
rooms;0,090322849
tile;0,090050419
let;0,090011551
additional;0,089837774
alcove;0,089562167
what;0,089496007
com<br;0,088782771
x;0,087889501
cleaning;0,087431393
air;0,086681413
eat;0,08604222
lines;0,084545079
we;0,083769798
bus;0,083180258
oversized;0,082588012
need;0,081957627
properties;0,08179603
prime;0,081381047
show;0,080895187
huge;0,079365437
exposure;0,078817142
its;0,078680791
newly;0,077312737
over;0,077302125
>this;0,076949322
war;0,076790069
terrace;0,076586168
sun;0,076237813
nd;0,076202464
units;0,075835596
layout;0,074733174
amp;0,074165738
best;0,073098645
downtown;0,072957935
ave;0,072448535
lease;0,072377375
amazing;0,072217983
health;0,072131579
like;0,071816315
am;0,071325519
subject;0,071226249
super;0,07017325
separate;0,070120613
plenty;0,070023304
such;0,069544824
showing;0,069528689
there;0,067979948
live;0,067548327
blocks;0,067173475
natural;0,066511914
free;0,064882944
gorgeous;0,064412479
right;0,064181642
f;0,064088192
tub;0,063937849
through;0,063898207
brand;0,063243536
steps;0,063223533
near;0,063009777
fee;0,062755526
rise;0,062708092
brick;0,060608787
landscaped;0,059966197
lighting;0,059936544
block;0,058788919
shops;0,058592997
away;0,058496044
rent;0,058013055
photos;0,057503924
l;0,057436022
bright;0,057251985
hr;0,056627996
month;0,056378453
whole;0,056104759
actual;0,056091442
very;0,055990487
fantastic;0,05559373
well;0,055405045
information;0,055393124
n;0,054797069
d;0,054795055
fit;0,054328799
microwave;0,0541302
village;0,053332175
if;0,053001201
every;0,051305109
some;0,050864276
valet;0,05061689
pictures;0,050207165
miron;0,050189765
transportation;0,049622154
train;0,049348319
"""";0,049193337
convenience;0,046897025
heart;0,046860566
dry;0,046506392
excellent;0,046323606
loft;0,046233171
bike;0,04621587
entertainment;0,046121872
exposed;0,045785661
size;0,045402184
walk;0,045298057
shopping;0,045236764
custom;0,045136104
only;0,044460927
subway;0,044310919
<p><a;0,044285408
find;0,044243976
facilities;0,044104942
bedrooms;0,043850678
br;0,0438389
windowed;0,043827442
fully;0,04377735
corner;0,043533734
>bond;0,043140233
b;0,042949171
text;0,042817669
parking;0,042737833
<;0,042712343
midtown;0,042696393
friendly;0,042677607
looking;0,042357784
offers;0,041685493
apartments;0,041458431
r;0,041425078
stone;0,041269231
convenient;0,041145367
