Word;Score;;
allowed;2,111166667;;
laundry;1,650382353;;
in;1,625055556;;
hardwood;1,561588608;;
elevator;1,561588608;;
floors;1,400382353;;
cats;1,383689189;;
dogs;1,383689189;;
dishwasher;1,349429577;;
doorman;1,262067568;;
building;1,235040541;;
fee;1,230214286;;
no;1,179348485;;
pre;1,150928571;;
fitness;1,126318182;;
center;1,1045;;
unit;1,091558824;;
space;1,088808943;;
outdoor;0,968309524;;
war;0,9445;;
dining;0,879685185;;
deck;0,826852941;;
high;0,803875;;
room;0,788716418;;
internet;0,7445;;
exclusive;0,721237968;;
roof;0,68801585;;
terrace;0,665928571;;
speed;0,665928571;;
swimming;0,664894737;;
pool;0,646880952;;
balcony;0,64662766;;
new;0,640928571;;
loft;0,633893939;;
level;0,630546512;;
construction;0,630397436;;
garden;0,626207317;;
common;0,610730366;;
garage;0,608080247;;
prewar;0,603590909;;
access;0,601907407;;
wheelchair;0,593622807;;
reduced;0,585125;;
on;0,556715909;;
patio;0,5057;;
fireplace;0,478113445;;
simplex;0,475632075;;
lowrise;0,452564516;;
private;0,448885965;;
parking;0,430214286;;
multi;0,425269231;;
live;0,367576923;;
s;0,353627625;;
site;0,313547619;;
furnished;0,2945;;
ceilings;0,2945;;
super;0,285409091;;
renovated;0,2845;;
lounge;0,277833333;;
storage;0,268968085;;
kitchen;0,264633011;;
publicoutdoor;0,260289474;;
green;0,248174293;;
appliances;0,239954545;;
pets;0,23659156;;
ceiling;0,236395604;;
gym;0,223626214;;
washer;0,215691865;;
stainless;0,201642857;;
concierge;0,1945;;
dryer;0,188608984;;
residents;0,187988691;;
steel;0,15483765;;
newly;0,153199676;;
walk;0,152844549;;
closet;0,152566974;;
playroom;0,152541661;;
full;0,14625205;;
exposed;0,142218817;;
br;0,141745927;;
eat;0,13284504;;
granite;0,130184647;;
marble;0,129008816;;
superintendent;0,128729477;;
highrise;0,125591251;;
bike;0,125491814;;
subway;0,123071429;;
approval;0,116484871;;
valet;0,115080561;;
light;0,11409662;;
central;0,110897229;;
time;0,108830218;;
to;0,108139601;;
duplex;0,107130579;;
ok;0,09664674;;
term;0,090333333;;
indoor;0,07716075;;
a;0,074715827;;
service;0,071072554;;
brick;0,070072897;;
short;0,069511899;;
view;0,068635546;;
luxury;0,068349693;;
bath;0,045005537;;
childrens;0,035409091;;
photos;0,031621212;;
c;0,03000377;;
apt;0,027659214;;
roofdeck;0,025221003;;
home;0,019363884;;
wifi;0,018167712;;
backyard;0,013669186;;
the;0,011573171;;
actual;0,001815964;;
areas;0,001069343;;
and;-0,002016618;;
of;-0,012001832;;
virtual;-0,013817076;;
club;-0,016022629;;
windows;-0,01885368;;
air;-0,020643057;;
massive;-0,021011713;;
available;-0,025840273;;
floor;-0,025840273;;
post;-0,028189076;;
with;-0,030481738;;
work;-0,037642857;;
children's;-0,044724585;;
conditioning;-0,0555;;
all;-0,0555;;
sprawling;-0,061597561;;
share;-0,081598901;;
included;-0,082169631;;
bldg;-0,083277778;;
courtyard;-0,085512744;;
free;-0,091214286;;
rooftop;-0,093961538;;
l;-0,100449174;;
microwave;-0,104823017;;
park;-0,10795023;;
ft;-0,108850438;;
large;-0,108903003;;
health;-0,11502381;;
sauna;-0,123681818;;
studio;-0,123681818;;
closets;-0,137589552;;
huge;-0,138302548;;
shares;-0,138960094;;
oversized;-0,160430648;;
ramp;-0,16254825;;
blks;-0,16320751;;
basement;-0,190476526;;
services;-0,223867347;;
lndry;-0,255346469;;
month;-0,267764151;;
decorative;-0,268;;
entertainment;-0,280808642;;
elev;-0,282772727;;
hi;-0,287024249;;
w;-0,296240741;;
brownstone;-0,3055;;
lot;-0,315005703;;
rise;-0,322166667;;
steps;-0,359071429;;
pet;-0,376928571;;
bedford;-0,418902062;;
clean;-0,4205;;
natural;-0,429637931;;
rent;-0,431815789;;
views;-0,46175;;
flex;-0,4805;;
living;-0,482919355;;
train;-0,4955;;
dry;-0,495661527;;
attended;-0,501928571;;
gourmet;-0,503416667;;
package;-0,50828834;;
business;-0,513159115;;
midrise;-0,522460352;;
gut;-0,559590472;;
friendly;-0,563741758;;
water;-0,619368613;;
sublet;-0,631586957;;
lobby;-0,657745863;;
cleaning;-0,662642857;;
billiards;-0,7255;;
ac;-0,8055;;
