Word;Scores
;0,667227273
street;0,479171533
th;0,450139098
st;0,402081227
east;0,295898601
west;0,215856784
e;0,209425373
w;0,148666667
avenue;0,139954545
ave;0,118742424
nd;0,116601449
rd;0,10405414
place;0,068442367
washington;0,06645122
broadway;0,063869369
wall;0,056371139
park;0,037078002
york;0,031342105
second;0,02430456
gold;0,024045455
end;0,014227891
john;0,009251286
columbus;-0,000496149
lexington;-0,0005
first;-0,001074163
water;-0,007163774
boulevard;-0,017343137
thompson;-0,02385443
blvd;-0,027481911
south;-0,029878754
riverside;-0,030356567
north;-0,030567792
amsterdam;-0,03360219
christopher;-0,034169896
third;-0,034507634
mott;-0,03977673
fifth;-0,063586378
center;-0,073266497
terrace;-0,074845238
pl;-0,077708548
madison;-0,084569767
maiden;-0,089470124
saint;-0,092431818
square;-0,105503965
a;-0,112462025
greenwich;-0,112728916
lane;-0,118
spruce;-0,127101942
road;-0,159273585
marks;-0,17964966
mulberry;-0,193480376
c;-0,219216814
sullivan;-0,224077982
ninth;-0,228576923
manhattan;-0,240614504
parkway;-0,251715139
b;-0,27579703
crescent;-0,277931078
main;-0,298513972
river;-0,309964286
drive;-0,31006621
tenth;-0,341349057
nicholas;-0,346409091
eighth;-0,351982412
hanover;-0,362577626
clinton;-0,377827044
fort;-0,417288618
rector;-0,426003597
union;-0,492067164
central;-0,516026316
murray;-0,621289474
